"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 03:28:12 GMT 2022","Sun Dec 04 03:28:12 GMT 2022","416","tests","test_your_information","","","","test_continue_empty_input_fist_name",""
"failed","Sun Dec 04 03:28:01 GMT 2022","Sun Dec 04 03:28:01 GMT 2022","65","tests","test_sidebar","","","","test_sidebar_reset_cart_yourcart",""
"passed","Sun Dec 04 03:25:48 GMT 2022","Sun Dec 04 03:25:48 GMT 2022","55","tests","test_login_page","","","","test_password_is_empty[problem_user-]",""
"passed","Sun Dec 04 03:26:24 GMT 2022","Sun Dec 04 03:26:24 GMT 2022","30","tests","test_login_page","","","","test_locked_out_user[locked_out_user]",""
"failed","Sun Dec 04 03:27:05 GMT 2022","Sun Dec 04 03:27:05 GMT 2022","80","tests","test_main","","","","test_add_to_cart_btn_add",""
"passed","Sun Dec 04 03:26:19 GMT 2022","Sun Dec 04 03:26:19 GMT 2022","28","tests","test_login_page","","","","test_password_is_whitespace[locked_out_user-   ]",""
"passed","Sun Dec 04 03:28:13 GMT 2022","Sun Dec 04 03:28:14 GMT 2022","382","tests","test_your_information","","","","test_continue_empty_input_last_name",""
"passed","Sun Dec 04 03:24:54 GMT 2022","Sun Dec 04 03:24:54 GMT 2022","259","tests","test_filter","","","","test_sorted_low_to_hi",""
"skipped","Sun Dec 04 03:28:17 GMT 2022","Sun Dec 04 03:28:17 GMT 2022","413","tests","test_your_information","","","","test_fist_name",""
"passed","Sun Dec 04 03:26:37 GMT 2022","Sun Dec 04 03:26:37 GMT 2022","50","tests","test_main","","","","test_link_to_price_backpack",""
"passed","Sun Dec 04 03:27:53 GMT 2022","Sun Dec 04 03:27:54 GMT 2022","621","tests","test_sidebar","","","","test_should_be_menu_sidebar_complete",""
"passed","Sun Dec 04 03:27:39 GMT 2022","Sun Dec 04 03:27:39 GMT 2022","444","tests","test_overview","","","","test_cancel_overview_empty_cart",""
"passed","Sun Dec 04 03:26:08 GMT 2022","Sun Dec 04 03:26:09 GMT 2022","26","tests","test_login_page","","","","test_password_is_login[performance_glitch_user-standard_user]",""
"passed","Sun Dec 04 03:26:10 GMT 2022","Sun Dec 04 03:26:10 GMT 2022","39","tests","test_login_page","","","","test_password_is_login[performance_glitch_user-locked_out_user]",""
"passed","Sun Dec 04 03:28:07 GMT 2022","Sun Dec 04 03:28:07 GMT 2022","431","tests","test_your_information","","","","test_cansel_user_input",""
"skipped","Sun Dec 04 03:25:34 GMT 2022","Sun Dec 04 03:25:34 GMT 2022","192","tests","test_header","","","","test_click_on_logo_from_inventory_item",""
"passed","Sun Dec 04 03:27:41 GMT 2022","Sun Dec 04 03:27:41 GMT 2022","524","tests","test_overview","","","","test_finish_overview",""
"passed","Sun Dec 04 03:25:57 GMT 2022","Sun Dec 04 03:25:57 GMT 2022","26","tests","test_login_page","","","","test_password_is_login[standard_user-performance_glitch_user]",""
"passed","Sun Dec 04 03:26:03 GMT 2022","Sun Dec 04 03:26:03 GMT 2022","25","tests","test_login_page","","","","test_password_is_login[problem_user-standard_user]",""
"passed","Sun Dec 04 03:26:18 GMT 2022","Sun Dec 04 03:26:18 GMT 2022","28","tests","test_login_page","","","","test_password_is_whitespace[standard_user-   ]",""
"passed","Sun Dec 04 03:26:49 GMT 2022","Sun Dec 04 03:26:49 GMT 2022","38","tests","test_main","","","","test_correct_description_bike_light",""
"passed","Sun Dec 04 03:26:31 GMT 2022","Sun Dec 04 03:26:31 GMT 2022","30","tests","test_login_page","","","","test_username_with_rusletters[stаndаrd_usеr]",""
"passed","Sun Dec 04 03:27:37 GMT 2022","Sun Dec 04 03:27:37 GMT 2022","522","tests","test_overview","","","","test_cancel_overview",""
"passed","Sun Dec 04 03:27:31 GMT 2022","Sun Dec 04 03:27:31 GMT 2022","692","tests","test_overview","","","","test_overview",""
"skipped","Sun Dec 04 03:27:07 GMT 2022","Sun Dec 04 03:27:27 GMT 2022","20511","tests","test_main","","","","test_empty_cart_order",""
"passed","Sun Dec 04 03:26:16 GMT 2022","Sun Dec 04 03:26:16 GMT 2022","31","tests","test_login_page","","","","test_username_is_whitespace[   ]",""
"passed","Sun Dec 04 03:27:48 GMT 2022","Sun Dec 04 03:27:48 GMT 2022","352","tests","test_sidebar","","","","test_should_be_menu_sidebar_item",""
"skipped","Sun Dec 04 03:27:43 GMT 2022","Sun Dec 04 03:27:43 GMT 2022","436","tests","test_overview","","","","test_finish_overview_empty_cart",""
"passed","Sun Dec 04 03:25:00 GMT 2022","Sun Dec 04 03:25:01 GMT 2022","1271","tests","test_footer","","","","test_footer_inventory_item",""
"passed","Sun Dec 04 03:25:38 GMT 2022","Sun Dec 04 03:25:38 GMT 2022","6","tests","test_login_page","","","","test_user_can_auth[problem_user]",""
"passed","Sun Dec 04 03:24:51 GMT 2022","Sun Dec 04 03:24:51 GMT 2022","418","tests","test_filter","","","","test_sorted_z_to_a",""
"passed","Sun Dec 04 03:28:08 GMT 2022","Sun Dec 04 03:28:09 GMT 2022","408","tests","test_your_information","","","","test_continue_user_input",""
"passed","Sun Dec 04 03:27:46 GMT 2022","Sun Dec 04 03:27:46 GMT 2022","387","tests","test_sidebar","","","","test_should_be_menu_sidebar_cart",""
"passed","Sun Dec 04 03:25:53 GMT 2022","Sun Dec 04 03:25:53 GMT 2022","25","tests","test_login_page","","","","test_password_is_login[standard_user-standard_user]",""
"passed","Sun Dec 04 03:27:51 GMT 2022","Sun Dec 04 03:27:52 GMT 2022","564","tests","test_sidebar","","","","test_should_be_menu_sidebar_overview",""
"passed","Sun Dec 04 03:25:55 GMT 2022","Sun Dec 04 03:25:55 GMT 2022","26","tests","test_login_page","","","","test_password_is_login[standard_user-problem_user]",""
"passed","Sun Dec 04 03:25:02 GMT 2022","Sun Dec 04 03:25:04 GMT 2022","1819","tests","test_footer","","","","test_footer_cart_page",""
"passed","Sun Dec 04 03:25:17 GMT 2022","Sun Dec 04 03:25:18 GMT 2022","465","tests","test_header","","","","test_should_be_elements_of_header_on_cart_page",""
"passed","Sun Dec 04 03:26:53 GMT 2022","Sun Dec 04 03:26:54 GMT 2022","865","tests","test_main","","","","test_get_all_links",""
"passed","Sun Dec 04 03:26:39 GMT 2022","Sun Dec 04 03:26:40 GMT 2022","44","tests","test_main","","","","test_link_to_price_onesie",""
"passed","Sun Dec 04 03:28:03 GMT 2022","Sun Dec 04 03:28:04 GMT 2022","385","tests","test_sidebar","","","","test_sidebar_logout",""
"passed","Sun Dec 04 03:25:35 GMT 2022","Sun Dec 04 03:25:35 GMT 2022","13","tests","test_login_page","","","","test_user_can_auth[standard_user]",""
"passed","Sun Dec 04 03:26:35 GMT 2022","Sun Dec 04 03:26:35 GMT 2022","88","tests","test_main","","","","test_photo_products",""
"skipped","Sun Dec 04 03:26:51 GMT 2022","Sun Dec 04 03:26:51 GMT 2022","40","tests","test_main","","","","test_correct_description_fleece_jacket",""
"passed","Sun Dec 04 03:25:06 GMT 2022","Sun Dec 04 03:25:07 GMT 2022","1599","tests","test_footer","","","","test_footer_your_information",""
"passed","Sun Dec 04 03:24:57 GMT 2022","Sun Dec 04 03:24:59 GMT 2022","1188","tests","test_footer","","","","test_footer_inventory",""
"passed","Sun Dec 04 03:26:30 GMT 2022","Sun Dec 04 03:26:30 GMT 2022","32","tests","test_login_page","","","","test_username_is_upper[PERFORMANCE_GLITCH_USER]",""
"passed","Sun Dec 04 03:26:27 GMT 2022","Sun Dec 04 03:26:27 GMT 2022","33","tests","test_login_page","","","","test_username_is_upper[LOCKED_OUT_USER]",""
"passed","Sun Dec 04 03:28:05 GMT 2022","Sun Dec 04 03:28:05 GMT 2022","168","tests","test_your_information","","","","test_cansel_empty_input",""
"passed","Sun Dec 04 03:27:55 GMT 2022","Sun Dec 04 03:27:55 GMT 2022","171","tests","test_sidebar","","","","test_navigating_sidebar",""
"passed","Sun Dec 04 03:26:25 GMT 2022","Sun Dec 04 03:26:26 GMT 2022","29","tests","test_login_page","","","","test_username_is_upper[STANDARD_USER]",""
"passed","Sun Dec 04 03:26:23 GMT 2022","Sun Dec 04 03:26:23 GMT 2022","28","tests","test_login_page","","","","test_username_password_is_empty[-]",""
"passed","Sun Dec 04 03:24:46 GMT 2022","Sun Dec 04 03:24:46 GMT 2022","538","tests","test_complete","","","","test_should_be_complete",""
"skipped","Sun Dec 04 03:25:37 GMT 2022","Sun Dec 04 03:25:37 GMT 2022","4","tests","test_login_page","","","","test_user_can_auth[locked_out_user]",""
"skipped","Sun Dec 04 03:25:29 GMT 2022","Sun Dec 04 03:25:29 GMT 2022","183","tests","test_header","","","","test_click_on_logo_from_checkout_page",""
"passed","Sun Dec 04 03:27:28 GMT 2022","Sun Dec 04 03:27:29 GMT 2022","858","tests","test_main","","","","test_conform_all_items",""
"skipped","Sun Dec 04 03:26:48 GMT 2022","Sun Dec 04 03:26:48 GMT 2022","42","tests","test_main","","","","test_correct_description_onesie",""
"passed","Sun Dec 04 03:25:11 GMT 2022","Sun Dec 04 03:25:14 GMT 2022","2484","tests","test_footer","","","","test_footer_complete_page",""
"passed","Sun Dec 04 03:26:20 GMT 2022","Sun Dec 04 03:26:20 GMT 2022","27","tests","test_login_page","","","","test_password_is_whitespace[problem_user-   ]",""
"passed","Sun Dec 04 03:27:50 GMT 2022","Sun Dec 04 03:27:50 GMT 2022","474","tests","test_sidebar","","","","test_should_be_menu_sidebar_checkout",""
"passed","Sun Dec 04 03:26:01 GMT 2022","Sun Dec 04 03:26:01 GMT 2022","27","tests","test_login_page","","","","test_password_is_login[locked_out_user-problem_user]",""
"passed","Sun Dec 04 03:25:46 GMT 2022","Sun Dec 04 03:25:46 GMT 2022","31","tests","test_login_page","","","","test_password_is_empty[standard_user-]",""
"failed","Sun Dec 04 03:26:59 GMT 2022","Sun Dec 04 03:26:59 GMT 2022","107","tests","test_main","","","","test_add_remove_backpack",""
"passed","Sun Dec 04 03:25:15 GMT 2022","Sun Dec 04 03:25:16 GMT 2022","478","tests","test_header","","","","test_should_be_elements_of_header_on_inventory_page",""
