"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sauce Labs","ТС_001_01","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.03 | Login page > Авторизация при пустом поле 'Username'","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.04 | Login page > Авторизация при вводе в поле 'Password' валидного логина","0","0","16","0","0"
"","Sauce Labs","TC_002.02.01","0","0","1","0","0"
"","Sauce Labs","TC_002.01.01","0","0","1","0","0"
"","Sauce Labs","ТС_001_02","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.02 | Login page > Авторизация при пустом поле 'Password'","0","0","4","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.10 | Login page > Авторизация заблокированного пользователя","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.01 Login page > Авторизация под валидными данными","0","0","3","1","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.08 | Login page > Авторизация при вводе пробелов в поле 'Password'","0","0","4","0","0"
"","","TC_003.00.01","0","0","1","0","0"
"","Sauce Labs","TC_002.04.01","0","0","1","0","0"
"","US_001.00 | Login page > Страница авторизации.","TC_001.00.07 | Login Page > Авторизация при вводе пробелов в поле Username'","0","0","1","0","0"
"","US_010.00 | Filter","TC_010.00.01 | Filter > Проверка наличия фильтра на странице 'Products'","0","0","1","0","0"
"","","TC_003.00.03","0","0","1","0","0"
